"","component","std.error","z.ratio","bound","%ch"
"gen",247.290681181901,78.1657033706863,3.1636724358402,"P",0
"sfa(env, 1):gen!env_1!sfa1",0.429572261016106,0.212135168696965,2.02499313835958,"P",0
"sfa(env, 1):gen!env_2!sfa1",0.999105206763811,NA,NA,"B",NA
"sfa(env, 1):gen!env_3!sfa1",0.621313536076809,0.174269780396903,3.56523967989031,"P",0
"sfa(env, 1):gen!env_4!sfa1",0.0576695002190099,0.445161938185704,0.129547239492323,"P",0.8
"sfa(env, 1):gen!env_1!var",230.267965255508,79.66441265486,2.89047464961709,"P",0
"sfa(env, 1):gen!env_2!var",307.559189263107,124.070692136275,2.47890282521592,"P",0
"sfa(env, 1):gen!env_3!var",230.976158369992,87.4043281044782,2.64261694333828,"P",0
"sfa(env, 1):gen!env_4!var",97.6033665483094,68.0334591459694,1.43463771758094,"P",0.1
"at(env, '1'):rep:iblock",1159.8460496397,118.924382117125,9.75280282303592,"P",0
"at(env, '2'):rep:iblock",1961.13761086262,180.874555949674,10.842528959177,"P",0
"at(env, '3'):rep:iblock",814.460889510941,88.7851875085411,9.1733870521205,"P",0
"at(env, '4'):rep:iblock",208.092908001504,43.3869889372333,4.79620533940593,"P",0
"env_1!R",4389.26403880432,99.0901811993672,44.2956505445602,"P",0
"env_2!R",3870.58307562268,89.2085746407107,43.3880161319865,"P",0
"env_3!R",4132.51143921465,97.5261389081115,42.3733727745367,"P",0
"env_4!R",3811.17772707823,90.1846479619451,42.2597172934181,"P",0
